X,Result
-6.2831853072,1
-6.1831853072,0.9950041653
-6.0831853072,0.9800665778
-5.9831853072,0.9553364891
-5.8831853072,0.921060994
-5.7831853072,0.8775825622
-5.6831853072,0.8253356166
-5.5831853072,0.7648421873
-5.4831853072,0.6967067092
-5.3831853072,0.6216099677
-5.2831853072,0.5403023038
-5.1831853072,0.4535961149
-5.0831853072,0.3623577546
-4.9831853072,0.2674988291
-4.8831853072,0.1699671442
-4.7831853072,0.070737205
-4.6831853072,-0.0291995141
-4.5831853072,-0.1288444945
-4.4831853072,-0.2272020953
-4.3831853072,-0.3232895682
-4.2831853072,-0.4161468396
-4.1831853072,-0.5048461113
-4.0831853072,-0.5885011314
-3.9831853072,-0.6662760208
-3.8831853072,-0.7373937145
-3.7831853072,-0.8011436133
-3.6831853072,-0.8568887488
-3.5831853072,-0.9040721331
-3.4831853072,-0.9422223235
-3.3831853072,-0.9709581659
-3.2831853072,-0.989992498
-3.1831853072,-0.999135153
-3.0831853072,-0.9982947809
-2.9831853072,-0.9874797793
-2.8831853072,-0.9667982097
-2.7831853072,-0.9364567178
-2.6831853072,-0.8967584148
-2.5831853072,-0.848100029
-2.4831853072,-0.790967707
-2.3831853072,-0.7259322955
-2.2831853072,-0.6536436057
-2.1831853072,-0.5748239204
-2.0831853072,-0.4902608228
-1.9831853072,-0.4007991746
-1.8831853072,-0.3073328743
-1.7831853072,-0.2107958069
-1.6831853072,-0.1121525395
-1.5831853072,-0.0123886845
-1.4831853072,0.0874989486
-1.3831853072,0.1865123715
-1.2831853072,0.283662189
-1.1831853072,0.3779777487
-1.0831853072,0.4685166812
-0.9831853072,0.5543743524
-0.8831853072,0.6346929023
-0.7831853072,0.7086698166
-0.6831853072,0.7755658757
-0.5831853072,0.8347127802
-0.4831853072,0.8855195094
-0.3831853072,0.9274784186
-0.2831853072,0.9601702673
-0.1831853072,0.9832684078
-0.0831853072,0.9965420487
0.0168146928,0.9998586364
0.1168146928,0.9931849188
0.2168146928,0.9765876256
0.3168146928,0.950232592
0.4168146928,0.9143831483
0.5168146928,0.8693974907
0.6168146928,0.8157251023
0.7168146928,0.7539022543
0.8168146928,0.6845466663
0.9168146928,0.6083513138
1.0168146928,0.5260775148
1.1168146928,0.4385473198
1.2168146928,0.346635318
1.3168146928,0.2512598431
1.4168146928,0.1533738635
1.5168146928,0.0539554244
1.6168146928,-0.0460021162
1.7168146928,-0.1455000341
1.8168146928,-0.2435441544
1.9168146928,-0.3391548626
2.0168146928,-0.4313768485
2.1168146928,-0.5192886618
2.2168146928,-0.6020119187
2.3168146928,-0.6787200468
2.4168146928,-0.7486466444
2.5168146928,-0.8110930115
2.6168146928,-0.8654352042
2.7168146928,-0.9111302519
2.8168146928,-0.9477215831
2.9168146928,-0.9748436222
3.0168146928,-0.992225327
3.1168146928,-0.999693045
3.2168146928,-0.9971721619
3.3168146928,-0.9846878662
3.4168146928,-0.9623648987
3.5168146928,-0.9304262712
3.6168146928,-0.889191151
3.7168146928,-0.839071526
3.8168146928,-0.7805681747
3.9168146928,-0.7142656424
4.0168146928,-0.6408264009
4.1168146928,-0.5609842288
4.2168146928,-0.4755369296
4.3168146928,-0.3853381935
4.4168146928,-0.2912892865
4.5168146928,-0.1943299146
4.6168146928,-0.0954288647
4.7168146928,0.0044256751
4.8168146928,0.104235989
4.9168146928,0.2030048661
5.0168146928,0.2997453472
5.1168146928,0.3934908729
5.2168146928,0.4833047695
5.3168146928,0.5682896474
5.4168146928,0.6475963672
5.5168146928,0.7204324771
5.6168146928,0.7860702931
5.7168146928,0.8438539537
5.8168146928,0.8932061034
5.9168146928,0.933633631
6.0168146928,0.964732597
6.1168146928,0.9861922692
6.2168146928,0.9977982815
